ID,smiles,value,gas
292,[*]OCCCCOC(=O)c1ccc(C([*])=O)cc1,0.250952037,O2
293,[*]OCCOC(=O)c1ccc(C([*])=O)cc1,0.72242387,CH4
294,[*]OCCOC(=O)c1ccc(C([*])=O)cc1,5.040792884,CO2
295,[*]OCCOC(=O)c1ccc(C([*])=O)cc1,0.12285137,N2
296,[*]OCCOC(=O)c1ccc(C([*])=O)cc1,0.264630121,O2
297,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C(F)(F)F)C(F)(F)F)cc2C)c(C)c1,4.570528851,CH4
298,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C(F)(F)F)C(F)(F)F)cc2C)c(C)c1,28.21777415,CO2
299,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C(F)(F)F)C(F)(F)F)cc2C)c(C)c1,0.71367975,N2
300,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C(F)(F)F)C(F)(F)F)cc2C)c(C)c1,1.148091823,O2
301,[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)C)cc2)cc1,13.85010889,CH4
302,[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)C)cc2)cc1,110.1021909,CO2
303,[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)C)cc2)cc1,1.946068218,N2
304,[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)C)cc2)cc1,3.016502977,O2
305,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C)C)cc2C)c(C)c1,10.43008855,CH4
306,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C)C)cc2C)c(C)c1,104.0344758,CO2
307,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C)C)cc2C)c(C)c1,1.487804854,N2
308,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C)C)cc2C)c(C)c1,2.465122059,O2
309,[*]c1ccc(Oc2ccc(S([*])(=O)=O)cc2)cc1,2.496709539,CH4
310,[*]c1ccc(Oc2ccc(S([*])(=O)=O)cc2)cc1,18.11178491,CO2
311,[*]c1ccc(Oc2ccc(S([*])(=O)=O)cc2)cc1,0.368613909,N2
312,[*]c1ccc(Oc2ccc(S([*])(=O)=O)cc2)cc1,0.704538284,O2
313,[*]Oc1c(-c2ccccc2)cc([*])cc1-c1ccccc1,4.042036441,CH4
314,[*]Oc1c(-c2ccccc2)cc([*])cc1-c1ccccc1,20.39552187,CO2
315,[*]Oc1c(-c2ccccc2)cc([*])cc1-c1ccccc1,0.658967354,N2
316,[*]Oc1c(-c2ccccc2)cc([*])cc1-c1ccccc1,1.130841473,O2
317,[*]c1ccc(OC(=O)c2cc(C(=O)Oc3ccc(C([*])(C)C)cc3C(C)C)cc(C(C)(C)C)c2)c(C(C)C)c1,11.18379813,CH4
318,[*]c1ccc(OC(=O)c2cc(C(=O)Oc3ccc(C([*])(C)C)cc3C(C)C)cc(C(C)(C)C)c2)c(C(C)C)c1,73.81140369,CO2
319,[*]c1ccc(OC(=O)c2cc(C(=O)Oc3ccc(C([*])(C)C)cc3C(C)C)cc(C(C)(C)C)c2)c(C(C)C)c1,1.675702033,N2
320,[*]c1ccc(OC(=O)c2cc(C(=O)Oc3ccc(C([*])(C)C)cc3C(C)C)cc(C(C)(C)C)c2)c(C(C)C)c1,2.571544259,O2
